latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
8.46846,-80.5814,334.2,0.48,0.4,2020-01-03,1854,1,VIIRS,n,2.0NRT,300.5,2,D
8.63789,-80.05302,303.2,0.45,0.63,2020-01-04,0730,1,VIIRS,n,2.0NRT,288.7,0.8,N
8.37371,-80.43045,331.3,0.4,0.37,2020-01-04,1836,1,VIIRS,n,2.0NRT,303.1,2.4,D
8.38561,-80.66351,341,0.4,0.37,2020-01-04,1836,1,VIIRS,n,2.0NRT,302.4,3.7,D
8.44208,-81.8072,334.7,0.44,0.38,2020-01-04,1836,1,VIIRS,n,2.0NRT,303.3,5.9,D
8.38898,-80.66396,334,0.4,0.37,2020-01-04,1836,1,VIIRS,n,2.0NRT,299.1,3.7,D
8.38148,-80.66419,304.1,0.39,0.44,2020-01-05,0712,1,VIIRS,n,2.0NRT,291.9,0.8,N
8.38283,-80.6637,303.2,0.39,0.44,2020-01-05,0712,1,VIIRS,n,2.0NRT,291.7,0.3,N
8.38345,-80.66725,311.5,0.39,0.44,2020-01-05,0712,1,VIIRS,n,2.0NRT,292.4,1.3,N
8.48543,-81.38413,304.6,0.53,0.42,2020-01-05,0712,1,VIIRS,n,2.0NRT,291.4,1.9,N
8.48928,-81.38364,322.4,0.53,0.42,2020-01-05,0712,1,VIIRS,n,2.0NRT,292.3,1.9,N
8.38208,-80.6678,311,0.39,0.44,2020-01-05,0712,1,VIIRS,n,2.0NRT,292.1,1.6,N
8.43853,-81.50153,329.8,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,292,1.8,N
8.44022,-81.49068,308.5,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,292.7,0.6,N
8.44076,-81.49411,306.9,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,292.1,0.6,N
8.43692,-81.4912,304.2,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,292.4,0.6,N
8.4413,-81.49755,315.6,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,292,1,N
8.20056,-80.59518,308.4,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,289.5,0.9,N
8.1978,-80.59917,301.2,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,289.2,0.5,N
8.43799,-81.49808,317.7,0.39,0.36,2020-01-06,0648,1,VIIRS,n,2.0NRT,292.5,1.8,N
8.73445,-82.87,326.8,0.69,0.74,2020-01-06,1754,1,VIIRS,n,2.0NRT,288.9,2.9,D
8.40248,-80.92736,330.8,0.51,0.66,2020-01-06,1754,1,VIIRS,n,2.0NRT,289.7,2.3,D
8.7301,-82.86945,327.8,0.69,0.74,2020-01-06,1754,1,VIIRS,n,2.0NRT,289.4,3.2,D
9.08566,-79.39604,307.4,0.47,0.4,2020-01-07,0630,1,VIIRS,n,2.0NRT,292.9,0.5,N
8.4537,-80.55264,343.2,0.41,0.6,2020-01-07,1918,1,VIIRS,n,2.0NRT,299.7,4.4,D
8.45444,-80.5529,343.9,0.41,0.6,2020-01-07,1918,1,VIIRS,n,2.0NRT,299.7,4,D
8.31586,-80.53767,329,0.41,0.6,2020-01-07,1918,1,VIIRS,n,2.0NRT,296.4,3.9,D
7.98147,-80.40595,330.7,0.39,0.44,2020-01-08,1900,1,VIIRS,n,2.0NRT,298.9,8.4,D
7.98196,-80.40238,340.8,0.39,0.44,2020-01-08,1900,1,VIIRS,n,2.0NRT,297.2,8.4,D
7.85014,-81.40228,332.6,0.51,0.41,2020-01-08,1900,1,VIIRS,n,2.0NRT,299.3,3.6,D
8.20759,-80.62619,337.4,0.38,0.43,2020-01-08,1900,1,VIIRS,n,2.0NRT,301.4,3.6,D
8.24035,-81.26865,334.9,0.53,0.42,2020-01-08,1900,1,VIIRS,n,2.0NRT,297.1,3.6,D
8.19537,-81.63476,336.9,0.5,0.41,2020-01-08,1900,1,VIIRS,n,2.0NRT,297.5,3.4,D
9.13161,-79.17537,331.5,0.49,0.49,2020-01-08,1900,1,VIIRS,n,2.0NRT,297.5,3.5,D
7.98421,-80.41139,312.4,0.74,0.76,2020-01-09,0554,1,VIIRS,n,2.0NRT,290.8,2.9,N
7.9813,-80.40675,306.1,0.74,0.76,2020-01-09,0554,1,VIIRS,n,2.0NRT,291.1,3.7,N
7.98135,-80.40947,305.5,0.56,0.69,2020-01-09,0736,1,VIIRS,n,2.0NRT,291.3,1.2,N
8.40195,-80.89918,301.9,0.51,0.66,2020-01-09,0736,1,VIIRS,n,2.0NRT,291,0.4,N
